StarID,StarFirstName,StarLastName,Gender,DateOfBirth,Birthplace,Bio,Nickname,Height(cm),StarSign,Image
1,Mila,Kunis,F,26-Jan-1991, Georgia,lived my entire live trying to help out my parents in terms of financial support in order for my siblings to stay at school and have a decent meal,Mila,179,Aquarian,
2,Amanda,Seyfried,F,26-Jan-1992, Hawaii, I graduated high school just in time before my father left us. After graduating I immediately played the role of a father to my eight siblings. This role suits me as I understand the value of money ,Amanda,158,Cancer,
3,Hayden,Panettiere,F,26-Jan-1993, Idaho,d gives me the ability to train myself to look on the better side of life instead of focusing on problems.,Hayden,158,Pisces,
4,Missy,Peregrym,F,26-Jan-1994, Illinois,n left high school when a casting call landed him a part in director Judd Apatow's new prime-time comedy-drama Freaks and Geeks (1999-2000). He played Ken a burnout with a deadpan sense of humor in an ensemble of young actors just beginning their careers. Freaks and Geeks soon became a cult classic although it was canceled after just one season due to low ratings. Rogen joined Apatow's next television venture a comedy about college students called Undeclared (2001-02),Missy,181,Libra,
5,Rachel,McAdams,F,05-Feb-1989, Indiana,Bradley Charles Cooper was born in Philadelphia Pennsylvania.,Rachel,169,Aries,
6,Shantel ,Santen,F,05-Feb-1990, Iowa,Hugh Michael Jackman is an Australian actor singer multi-instrumentalist dancer and producer.,Shantel ,151,Leo,
7,Natalie ,Portman,F,05-Feb-1991, Kansas,Few actors in the world have had a career quite as diverse as Leonardo DiCaprio's. DiCaprio has gone from relatively humble beginnings,Natalie ,183,Aquarian,
8,Sophia,Bush,F,05-Feb-1992, Kentucky[D],"Christian Charles Philip Bale was born in Pembrokeshire Wales UK on January 30 1974 to English parents Jennifer ""Jenny"" (James) and David Charles Howard Bale.",Sophia,159,Cancer,
9,Jennifer,Connelly,F,05-Feb-1993, Louisiana,Bradley Charles Cooper was born in Philadelphia Pennsylvania.,Jennifer,159,Pisces,
10,Malin,Akerman,F,05-Feb-1994, Maine,Robert Downey Jr. has evolved into one of the most respected actors in Hollywood,Malin,158,Libra,
11,Michelle,Monaghan,F,26-Jan-1991, Maryland,Bradley Charles Cooper was born in Philadelphia Pennsylvania.,Michelle,168,Aries,
12,Lyndsy,Fonseca,F,26-Jan-1992, Massachusetts[E],Hugh Michael Jackman is an Australian actor singer multi-instrumentalist dancer and producer.,Lyndsy,164,Leo,
13,Scarlett,Johansson,F,26-Jan-1993, Michigan,Robert Downey Jr. has evolved into one of the most respected actors in Hollywood,Scarlett,171,Aquarian,
14,Eliot,Sumner,F,26-Jan-1994, Minnesota,Bradley Charles Cooper was born in Philadelphia Pennsylvania.,Eliot,183,Cancer,
15,Olivia,Wilde,F,05-Feb-1989, Mississippi,Hugh Michael Jackman is an Australian actor singer multi-instrumentalist dancer and producer.,Olivia,182,Pisces,
16,Leonardo,DiCaprio,M,05-Feb-1990, Missouri,Few actors in the world have had a career quite as diverse as Leonardo DiCaprio's. DiCaprio has gone from relatively humble beginnings,Leonardo,170,Libra,
17,Christian,Bale,M,05-Feb-1991, Montana,"Christian Charles Philip Bale was born in Pembrokeshire Wales UK on January 30 1974 to English parents Jennifer ""Jenny"" (James) and David Charles Howard Bale.",Christian,162,Aries,
18,Matthew,McConaughe,M,05-Feb-1992, Nebraska,Bradley Charles Cooper was born in Philadelphia Pennsylvania.,Matthew,156,Leo,
19,Robert,Downey Jr.,M,05-Feb-1993, Nevada,Robert Downey Jr. has evolved into one of the most respected actors in Hollywood,Robert,182,Aquarian,
20,Brad,Pitt,M,05-Feb-1994, New Hampshire,Bradley Charles Cooper was born in Philadelphia Pennsylvania.,Brad,155,Cancer,
21,Hugh,Jackman,M,26-Jan-1993, New Jersey,Hugh Michael Jackman is an Australian actor singer multi-instrumentalist dancer and producer.,Hugh,165,Pisces,
22,Bradley,Cooper,M,26-Jan-1994, Mississippi,Few actors in the world have had a career quite as diverse as Leonardo DiCaprio's. DiCaprio has gone from relatively humble beginnings,Bradley,177,Libra,
23,George,Clooney,M,05-Feb-1989, Missouri,"Christian Charles Philip Bale was born in Pembrokeshire Wales UK on January 30 1974 to English parents Jennifer ""Jenny"" (James) and David Charles Howard Bale.",George,173,Aries,
24,Matt,Damon,M,05-Feb-1990, Montana,Bradley Charles Cooper was born in Philadelphia Pennsylvania.,Matt,188,Leo,
25,Mark,Wahlberg,M,05-Feb-1991, Nebraska,Robert Downey Jr. has evolved into one of the most respected actors in Hollywood,Mark,173,Aquarian,
26,Michael,Fassbender,M,05-Feb-1992, Nevada,Bradley Charles Cooper was born in Philadelphia Pennsylvania.,Michael,170,Cancer,
27,Denzel,Washington,M,05-Feb-1993, New Hampshire,Hugh Michael Jackman is an Australian actor singer multi-instrumentalist dancer and producer.,Denzel,158,Pisces,
28,Liam,Neeson,M,05-Feb-1994, New Jersey,Robert Downey Jr. has evolved into one of the most respected actors in Hollywood,Liam,188,Libra,
29,Russell,Crowe,M,26-Jan-1993, New Mexico,Bradley Charles Cooper was born in Philadelphia Pennsylvania.,Russell,190,Aries,
30,James,Franco,M,26-Jan-1994, New York,Hugh Michael Jackman is an Australian actor singer multi-instrumentalist dancer and producer.,James,158,Leo,
